iter	Passed	Remaining
405	9895	2290
406	9916	2266
407	9940	2241
408	9962	2216
409	9986	2192
410	10007	2167
411	10032	2142
412	10060	2119
413	10083	2094
414	10111	2070
415	10135	2046
416	10158	2021
417	10180	1997
418	10202	1972
419	10224	1947
420	10246	1922
421	10269	1898
422	10290	1873
423	10313	1848
424	10334	1823
425	10355	1798
426	10376	1773
427	10398	1749
428	10420	1724
429	10440	1699
430	10462	1674
431	10483	1650
432	10506	1625
433	10531	1601
434	10559	1577
435	10581	1553
436	10601	1528
437	10621	1503
438	10640	1478
439	10663	1454
440	10686	1429
441	10710	1405
442	10730	1380
443	10749	1355
444	10776	1331
445	10798	1307
446	10819	1282
447	10838	1258
448	10860	1233
449	10883	1209
450	10903	1184
451	10926	1160
452	10946	1135
453	10977	1112
454	11008	1088
455	11035	1064
456	11064	1041
457	11118	1019
458	11190	999
459	11213	975
460	11261	952
461	11304	929
462	11329	905
463	11350	880
464	11371	855
465	11391	831
466	11415	806
467	11442	782
468	11470	758
469	11493	733
470	11516	709
471	11537	684
472	11559	659
473	11580	635
474	11601	610
475	11624	586
476	11645	561
477	11667	536
478	11688	512
479	11711	487
480	11734	463
481	11756	439
482	11777	414
483	11800	390
484	11822	365
485	11843	341
486	11872	316
487	11897	292
488	11921	268
489	11942	243
490	11965	219
491	11987	194
492	12010	170
493	12037	146
494	12064	121
495	12087	97
496	12110	73
497	12134	48
498	12158	24
499	12184	0
