iter	Logloss
0	0.6592657337
1	0.6314164087
2	0.6060530689
3	0.5846195574
4	0.5644025674
5	0.5466712385
6	0.532416983
7	0.5183725335
8	0.5065557741
9	0.4966584266
10	0.4868699372
11	0.4800184882
12	0.4734804379
13	0.4679528998
14	0.4617718091
15	0.4568153329
16	0.4520182366
17	0.4474301199
18	0.443548603
19	0.4398235167
20	0.4363955655
21	0.43400662
22	0.4325653239
23	0.4303834279
24	0.4281169813
25	0.4263536912
26	0.4240153645
27	0.4220197287
28	0.4203540185
29	0.4187497457
30	0.4172983162
31	0.415712333
32	0.4144077157
33	0.4135231582
34	0.4124563345
35	0.4111692242
36	0.4107762875
37	0.4094714541
38	0.4085185723
39	0.4078073192
40	0.4073989176
41	0.407182855
42	0.4066508321
43	0.405831639
44	0.4050890661
45	0.4039699927
46	0.4032130933
47	0.4029274917
48	0.4025712401
49	0.4024258983
50	0.4018991318
51	0.4012397779
52	0.4010602836
53	0.4009295331
54	0.4002398679
55	0.4001890816
56	0.3997412256
57	0.3992886972
58	0.3988786258
59	0.3981386843
60	0.3975839008
61	0.3968983342
62	0.3968000844
63	0.3966358642
64	0.3962777931
65	0.396236592
66	0.3957666624
67	0.3957149978
68	0.3954457441
69	0.3954282554
70	0.3952946725
71	0.3951298874
72	0.3949840254
73	0.3944092428
74	0.3941613688
75	0.3938945772
76	0.3936427901
77	0.3932264085
78	0.3930042835
79	0.3929369446
80	0.3925843759
81	0.3923621115
82	0.3920929004
83	0.3920890227
84	0.3920548115
85	0.391739387
86	0.3915784518
87	0.3915244696
88	0.3913181035
89	0.390999935
90	0.3909985677
91	0.3909703361
92	0.3908469748
93	0.3907527853
94	0.3902893974
95	0.3900931121
96	0.3899064358
97	0.3897013964
98	0.389405931
99	0.3893500898
100	0.3890617149
101	0.3886261533
102	0.3884522389
103	0.3882982519
104	0.3882695814
105	0.3881302268
106	0.3879733462
107	0.3877290147
108	0.3877045977
109	0.3876612523
110	0.3874790315
111	0.3874344259
112	0.3874329677
113	0.3870661732
114	0.3870499
115	0.3867967294
116	0.3866822553
117	0.3863360227
118	0.3862317315
119	0.3861486107
120	0.3861485997
121	0.3860159291
122	0.3858735196
123	0.3856068142
124	0.3855881872
125	0.3855717442
126	0.3852893859
127	0.3852842756
128	0.3852801445
129	0.3849141937
130	0.3848610076
131	0.3846204618
132	0.3845958077
133	0.3845009708
134	0.384273131
135	0.3839993392
136	0.3838505704
137	0.3834823232
138	0.3831083103
139	0.3830313499
140	0.3829695088
141	0.3829684965
142	0.3829359743
143	0.3829035551
144	0.382560302
145	0.3824096346
146	0.3823729798
147	0.3823539689
148	0.3822778964
149	0.3821217662
150	0.3821217385
151	0.3821207015
152	0.3819802426
153	0.3819789461
154	0.3817761662
155	0.3816545295
156	0.3815248426
157	0.3812903921
158	0.381120465
159	0.3807037163
160	0.3804827355
161	0.3804174533
162	0.3801846117
163	0.379820478
164	0.3795035008
165	0.379380347
166	0.3792906039
167	0.3792798677
168	0.3790625229
169	0.3788613929
170	0.3788597211
171	0.3785940486
172	0.3785802669
173	0.3783975611
174	0.3782245423
175	0.3781968509
176	0.3777372669
177	0.3771827124
178	0.3771024222
179	0.3767577874
180	0.3765963945
181	0.3765893493
182	0.3765879147
183	0.3765308198
184	0.3765196487
185	0.3763473336
186	0.3763461317
187	0.3762044013
188	0.3760686296
189	0.3758782362
190	0.375722138
191	0.3757005759
192	0.3753172173
193	0.3747257506
194	0.3744548444
195	0.3741855962
196	0.3740458306
197	0.3739146234
198	0.3738260304
199	0.3734642208
200	0.3731692345
201	0.3730209428
202	0.3729011706
203	0.3724143339
204	0.3721370198
205	0.3718376207
206	0.3715508455
207	0.3713910226
208	0.3712213267
209	0.3708896837
210	0.3706963207
211	0.3702809789
212	0.3702147394
213	0.3700393373
214	0.3695286031
215	0.3691236489
216	0.3687878867
217	0.3687177857
218	0.3682344119
219	0.3678717186
220	0.3676712206
221	0.3675979198
222	0.3674268975
223	0.3672365257
224	0.3669980271
225	0.3668402448
226	0.3667276265
227	0.3663249109
228	0.3661742206
229	0.3660232288
230	0.3657997011
231	0.3654789094
232	0.3651709548
233	0.3648212605
234	0.3647105301
235	0.364361419
236	0.3640537468
237	0.3638880356
238	0.3634771151
239	0.3633111236
240	0.3631034436
241	0.3628919401
242	0.3625722563
243	0.3622723199
244	0.3621605651
245	0.3620656003
246	0.3619095253
247	0.361481776
248	0.3612628686
249	0.3611831944
250	0.3608666629
251	0.3608126997
252	0.3607452837
253	0.360406195
254	0.3603214282
255	0.3602690147
256	0.3599650455
257	0.3597842067
258	0.3597382824
259	0.3595578174
260	0.3592774138
261	0.3592290441
262	0.3589527439
263	0.3587627666
264	0.3585428173
265	0.3582955762
266	0.3578881429
267	0.3577802763
268	0.3574587554
269	0.3571566617
270	0.3569379622
271	0.3568867034
272	0.35667955
273	0.3565868276
274	0.3563771172
275	0.3562868599
276	0.3560044881
277	0.3558885618
278	0.3558069094
279	0.3555677298
280	0.3553692892
281	0.3551733638
282	0.3550616895
283	0.3547255129
284	0.3544905172
285	0.3542608167
286	0.354140741
287	0.3538173837
288	0.3535731319
289	0.3533558777
290	0.3533186438
291	0.3531311003
292	0.3530250297
293	0.3527593492
294	0.3523347094
295	0.3522634384
296	0.3521448762
297	0.3518774979
298	0.3516804068
299	0.3515987115
300	0.3513709065
301	0.3511714822
302	0.3510002136
303	0.3509178897
304	0.350675374
305	0.3504947557
306	0.3503887867
307	0.3503651716
308	0.350118995
309	0.3500280982
310	0.3497635734
311	0.3494494435
312	0.3492163439
313	0.3490535585
314	0.3488562659
315	0.3487878286
316	0.3485715158
317	0.3484196958
318	0.3480583234
319	0.3477221049
320	0.3474172275
321	0.3472342704
322	0.3469880616
323	0.3466123614
324	0.3463349303
325	0.3461988457
326	0.3459313675
327	0.3458221742
328	0.3457468422
329	0.3455566739
330	0.3452803011
331	0.3450060339
332	0.3447274828
333	0.3446268104
334	0.3442921743
335	0.3441162228
336	0.3439475707
337	0.3438523612
338	0.3437646523
339	0.3435711355
340	0.3433200316
341	0.3431193976
342	0.3429794712
343	0.3429255391
344	0.3427642849
345	0.3426338599
346	0.342509733
347	0.342175804
348	0.3421257059
349	0.3419093375
350	0.3416773939
351	0.3415972831
352	0.3412960826
353	0.341056924
354	0.3409375565
355	0.3406393913
356	0.3405642946
357	0.340288559
358	0.3401978956
359	0.3401457506
360	0.3400487197
361	0.3398087574
362	0.3395161055
363	0.339264054
364	0.3389575901
365	0.3389160453
366	0.3385689894
367	0.3384240869
368	0.3382875111
369	0.3382203992
370	0.3378506783
371	0.3376149245
372	0.3373874346
373	0.3372131492
374	0.3369648319
375	0.3366200225
376	0.3365151174
377	0.3364708791
378	0.3363309282
379	0.3360917385
380	0.3360239294
381	0.3358991989
382	0.3357067007
383	0.3355248911
384	0.3354465258
385	0.3352491484
386	0.3351056052
387	0.3349504345
388	0.3349155099
389	0.334790638
390	0.3345514564
391	0.334415171
392	0.3340736244
393	0.3340536631
394	0.3339735833
395	0.3339075745
396	0.3338123273
397	0.3335298615
398	0.3333590214
399	0.333065385
400	0.3327417901
401	0.3325346884
402	0.3321921026
403	0.3319504073
404	0.3317515423
405	0.3315262701
406	0.3312723198
407	0.3309681445
408	0.3306045454
409	0.3303988049
410	0.3299478416
411	0.329902319
412	0.3296385941
413	0.3296138637
414	0.3292271019
415	0.3291488846
416	0.3288608096
417	0.3287602075
418	0.3285037399
419	0.3283623633
420	0.3279794182
421	0.327880026
422	0.3277038141
423	0.3274187477
424	0.3270816832
425	0.3269648251
426	0.3267857341
427	0.3267168829
428	0.3265138739
429	0.3264229451
430	0.3262828053
431	0.3260060055
432	0.3259038393
433	0.325732167
434	0.32534254
435	0.3253114361
436	0.325051216
437	0.3249481799
438	0.324685533
439	0.3245565578
440	0.3244504266
441	0.3243007644
442	0.3242014801
443	0.3241606056
444	0.3240101463
445	0.3236482858
446	0.3235196655
