iter	Logloss
447	0.3234295854
448	0.3232148869
449	0.3230748876
450	0.3228732615
451	0.3226589657
452	0.3226323059
453	0.3223568064
454	0.3222510577
455	0.3222120425
456	0.3219814269
457	0.3217684031
458	0.3215384385
459	0.321367965
460	0.3212464512
461	0.3210761233
462	0.320787001
463	0.3206052727
464	0.3205320934
465	0.3203481002
466	0.3200666593
467	0.3199163565
468	0.319613057
469	0.3193439344
470	0.3192099829
471	0.3190466347
472	0.3189379815
473	0.318867895
474	0.3187347361
475	0.3185345179
476	0.3184750187
477	0.3182747165
478	0.3181269023
479	0.3180225326
480	0.317790315
481	0.3176289963
482	0.3173561868
483	0.3169652592
484	0.3168904519
485	0.3168122923
486	0.3166248546
487	0.3165047202
488	0.3163609885
489	0.3162508878
490	0.3159169215
491	0.3157994343
492	0.3157428214
493	0.3155831799
494	0.3154984931
495	0.315403586
496	0.3152286994
497	0.3151675498
498	0.3150266302
499	0.3149575362
